End date,"8/16/2018"
Specimen label,"D32L50N6d4"
Maximum Load,"19.30017",N
Extension at Maximum Load,"96.10103",mm
Maximum Slope (Automatic Young's),"0.22871",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"28.00000","14.00115","3.26560"
"28.10000","14.05102","3.27971"
"28.20000","14.10118","3.28305"
"28.30000","14.15105","3.28952"
"28.40000","14.20115","3.29440"
"28.50000","14.25101","3.30151"
"28.60000","14.30100","3.30908"
"28.70000","14.35104","3.32680"
"28.80000","14.40109","3.33659"
"28.90000","14.45101","3.34981"
"29.00000","14.50111","3.36366"
"29.10000","14.55098","3.37693"
"29.20000","14.60108","3.39175"
"29.30000","14.65107","3.40612"
"29.40000","14.70117","3.41933"
"29.50000","14.75104","3.43821"
"29.60000","14.80114","3.44806"
"29.70000","14.85100","3.45910"
"29.80000","14.90117","3.47527"
"29.90000","14.95109","3.48531"
"30.00000","15.00095","3.49340"
"30.10000","15.05106","3.50431"
"30.20000","15.10110","3.51323"
"30.30000","15.15121","3.51948"
"30.40000","15.20113","3.53011"
"30.50000","15.25111","3.54028"
"30.60000","15.30116","3.55512"
"30.70000","15.35102","3.56364"
"30.80000","15.40107","3.57331"
"30.90000","15.45111","3.58689"
"31.00000","15.50109","3.59706"
"31.10000","15.55108","3.60797"
"31.20000","15.60106","3.61711"
"31.30000","15.65099","3.62645"
"31.40000","15.70115","3.64855"
"31.50000","15.75101","3.65541"
"31.60000","15.80112","3.67023"
"31.70000","15.85104","3.67854"
"31.80000","15.90103","3.68684"
"31.90000","15.95101","3.69649"
"32.00000","16.00117","3.70750"
"32.10000","16.05104","3.71810"
"32.20000","16.10108","3.72987"
"32.30000","16.15107","3.73980"
"32.40000","16.20099","3.75976"
"32.50000","16.25097","3.77365"
"32.60000","16.30108","3.79050"
"32.70000","16.35118","3.80425"
"32.80000","16.40104","3.81494"
"32.90000","16.45109","3.82563"
"33.00000","16.50101","3.83577"
"33.10000","16.55106","3.84908"
"33.20000","16.60116","3.85763"
"33.30000","16.65103","3.87158"
"33.40000","16.70107","3.88034"
"33.50000","16.75105","3.88827"
"33.60000","16.80110","3.89475"
"33.70000","16.85102","3.90517"
"33.80000","16.90113","3.91361"
"33.90000","16.95105","3.92399"
"34.00000","17.00115","3.93324"
"34.10000","17.05108","3.94345"
"34.20000","17.10106","3.95769"
"34.30000","17.15105","3.97098"
"34.40000","17.20109","3.98506"
"34.50000","17.25119","3.99836"
"34.60000","17.30112","4.01027"
"34.70000","17.35104","4.02568"
"34.80000","17.40109","4.03776"
"34.90000","17.45107","4.05250"
"35.00000","17.50105","4.06693"
"35.10000","17.55104","4.08131"
"35.20000","17.60096","4.08679"
"35.30000","17.65112","4.10346"
"35.40000","17.70099","4.10887"
"35.50000","17.75109","4.11816"
"35.60000","17.80114","4.12467"
"35.70000","17.85112","4.13257"
"35.80000","17.90111","4.14053"
"35.90000","17.95115","4.15599"
"36.00000","18.00107","4.16589"
"36.10000","18.05112","4.17854"
"36.20000","18.10122","4.19157"
"36.30000","18.15115","4.20490"
"36.40000","18.20107","4.21534"
"36.50000","18.25111","4.22932"
"36.60000","18.30116","4.24174"
"36.70000","18.35108","4.25352"
"36.80000","18.40101","4.26554"
"36.90000","18.45111","4.27854"
"37.00000","18.50109","4.29004"
"37.10000","18.55108","4.29765"
"37.20000","18.60112","4.30873"
"37.30000","18.65111","4.32053"
"37.40000","18.70109","4.32773"
"37.50000","18.75113","4.33971"
"37.60000","18.80100","4.34823"
"37.70000","18.85110","4.35901"
"37.80000","18.90103","4.37354"
"37.90000","18.95107","4.38465"
"38.00000","19.00105","4.39801"
"38.10000","19.05110","4.41023"
"38.20000","19.10108","4.41977"
"38.30000","19.15118","4.43154"
"38.40000","19.20105","4.44302"
"38.50000","19.25109","4.45931"
"38.60000","19.30108","4.47304"
"38.70000","19.35106","4.48403"
"38.80000","19.40104","4.50234"
"38.90000","19.45109","4.50945"
"39.00000","19.50107","4.51837"
"39.10000","19.55100","4.52559"
"39.20000","19.60104","4.53393"
"39.30000","19.65114","4.54323"
"39.40000","19.70101","4.55092"
"39.50000","19.75099","4.56133"
"39.60000","19.80116","4.57778"
"39.70000","19.85102","4.59064"
"39.80000","19.90113","4.60511"
"39.90000","19.95111","4.61965"
"40.00000","20.00109","4.63199"
"40.10000","20.05114","4.64377"
"40.20000","20.10106","4.65690"
"40.30000","20.15104","4.66823"
"40.40000","20.20109","4.68229"
"40.50000","20.25107","4.69651"
"40.60000","20.30112","4.70492"
"40.70000","20.35110","4.71297"
"40.80000","20.40102","4.72146"
"40.90000","20.45119","4.72768"
"41.00000","20.50105","4.73424"
"41.10000","20.55104","4.74539"
"41.20000","20.60096","4.75767"
"41.30000","20.65106","4.77023"
"41.40000","20.70117","4.78325"
"41.50000","20.75115","4.79470"
"41.60000","20.80114","4.80845"
"41.70000","20.85106","4.81980"
"41.80000","20.90111","4.83203"
"41.90000","20.95103","4.84488"
"42.00000","21.00113","4.85628"
"42.10000","21.05112","4.86709"
"42.20000","21.10110","4.88330"
"42.30000","21.15108","4.89823"
"42.40000","21.20107","4.90782"
"42.50000","21.25111","4.92231"
"42.60000","21.30116","4.93124"
"42.70000","21.35102","4.93918"
"42.80000","21.40101","4.94420"
"42.90000","21.45111","4.95034"
"43.00000","21.50103","4.95698"
"43.10000","21.55120","4.97152"
"43.20000","21.60106","4.98341"
"43.30000","21.65111","4.99806"
"43.40000","21.70103","5.01006"
"43.50000","21.75107","5.02347"
"43.60000","21.80106","5.03677"
"43.70000","21.85110","5.05277"
"43.80000","21.90103","5.06672"
"43.90000","21.95113","5.07955"
"44.00000","22.00105","5.09389"
"44.10000","22.05110","5.10490"
"44.20000","22.10114","5.11814"
"44.30000","22.15112","5.12923"
"44.40000","22.20117","5.13336"
"44.50000","22.25103","5.14344"
"44.60000","22.30096","5.15262"
"44.70000","22.35100","5.16048"
"44.80000","22.40110","5.17039"
"44.90000","22.45109","5.18164"
"45.00000","22.50113","5.19517"
"45.10000","22.55106","5.20591"
"45.20000","22.60110","5.21742"
"45.30000","22.65115","5.23053"
"45.40000","22.70113","5.23987"
"45.50000","22.75105","5.24988"
"45.60000","22.80104","5.26120"
"45.70000","22.85108","5.27609"
"45.80000","22.90107","5.28872"
"45.90000","22.95111","5.29980"
"46.00000","23.00115","5.31519"
"46.10000","23.05120","5.32743"
"46.20000","23.10100","5.33751"
"46.30000","23.15104","5.34771"
"46.40000","23.20115","5.35751"
"46.50000","23.25107","5.36612"
"46.60000","23.30118","5.37838"
"46.70000","23.35104","5.38849"
"46.80000","23.40103","5.40068"
"46.90000","23.45113","5.41321"
"47.00000","23.50111","5.42643"
"47.10000","23.55103","5.44045"
"47.20000","23.60102","5.45217"
"47.30000","23.65107","5.46537"
"47.40000","23.70117","5.47746"
"47.50000","23.75109","5.48678"
"47.60000","23.80107","5.49971"
"47.70000","23.85106","5.51182"
"47.80000","23.90111","5.52151"
"47.90000","23.95097","5.53079"
"48.00000","24.00107","5.53706"
"48.10000","24.05112","5.54537"
"48.20000","24.10110","5.55078"
"48.30000","24.15115","5.55597"
"48.40000","24.20101","5.57084"
"48.50000","24.25111","5.58592"
"48.60000","24.30110","5.59745"
"48.70000","24.35114","5.61190"
"48.80000","24.40107","5.62603"
"48.90000","24.45105","5.64077"
"49.00000","24.50103","5.65395"
"49.10000","24.55108","5.66723"
"49.20000","24.60112","5.68050"
"49.30000","24.65110","5.69464"
"49.40000","24.70103","5.70845"
"49.50000","24.75125","5.72202"
"49.60000","24.80112","5.73518"
"49.70000","24.85116","5.74570"
"49.80000","24.90103","5.75698"
"49.90000","24.95113","5.76264"
"50.00000","25.00111","5.76820"
"50.10000","25.05110","5.77412"
"50.20000","25.10108","5.78321"
"50.30000","25.15113","5.78881"
"50.40000","25.20105","5.79732"
"50.50000","25.25103","5.81337"
"50.60000","25.30114","5.82443"
"50.70000","25.35106","5.83792"
"50.80000","25.40116","5.84881"
"50.90000","25.45115","5.86115"
"51.00000","25.50107","5.87340"
"51.10000","25.55106","5.89291"
"51.20000","25.60104","5.90765"
"51.30000","25.65108","5.92196"
"51.40000","25.70119","5.93648"
"51.50000","25.75105","5.94556"
"51.60000","25.80110","5.95623"
"51.70000","25.85120","5.96488"
"51.80000","25.90112","5.97635"
"51.90000","25.95117","5.98558"
"52.00000","26.00109","5.99282"
"52.10000","26.05114","6.00279"
"52.20000","26.10100","6.01675"
"52.30000","26.15111","6.03087"
"52.40000","26.20109","6.04050"
"52.50000","26.25119","6.05327"
"52.60000","26.30118","6.06266"
"52.70000","26.35110","6.07334"
"52.80000","26.40108","6.08138"
"52.90000","26.45107","6.09153"
"53.00000","26.50117","6.10090"
"53.10000","26.55110","6.11340"
"53.20000","26.60102","6.12682"
"53.30000","26.65106","6.13897"
"53.40000","26.70099","6.14948"
"53.50000","26.75115","6.15995"
"53.60000","26.80108","6.16908"
"53.70000","26.85106","6.17902"
"53.80000","26.90110","6.19020"
"53.90000","26.95115","6.20638"
"54.00000","27.00107","6.21602"
"54.10000","27.05112","6.23046"
"54.20000","27.10110","6.24563"
"54.30000","27.15115","6.25797"
"54.40000","27.20101","6.26955"
"54.50000","27.25105","6.28657"
"54.60000","27.30098","6.29838"
"54.70000","27.35114","6.31411"
"54.80000","27.40107","6.32717"
"54.90000","27.45111","6.33751"
"55.00000","27.50103","6.35066"
"55.10000","27.55114","6.36055"
"55.20000","27.60106","6.36580"
"55.30000","27.65117","6.37315"
"55.40000","27.70103","6.37683"
"55.50000","27.75113","6.37813"
"55.60000","27.80112","6.39102"
"55.70000","27.85116","6.40365"
"55.80000","27.90108","6.40950"
"55.90000","27.95119","6.42107"
"56.00000","28.00105","6.43630"
"56.10000","28.05103","6.44382"
"56.20000","28.10102","6.45820"
"56.30000","28.15107","6.47326"
"56.40000","28.20117","6.48570"
"56.50000","28.25109","6.50023"
"56.60000","28.30108","6.51727"
"56.70000","28.35106","6.52755"
"56.80000","28.40104","6.54384"
"56.90000","28.45115","6.55581"
"57.00000","28.50107","6.56953"
"57.10000","28.55112","6.58210"
"57.20000","28.60098","6.59131"
"57.30000","28.65103","6.60116"
"57.40000","28.70107","6.60816"
"57.50000","28.75105","6.61546"
"57.60000","28.80104","6.62559"
"57.70000","28.85120","6.63535"
"57.80000","28.90106","6.64484"
"57.90000","28.95105","6.65449"
"58.00000","29.00109","6.66329"
"58.10000","29.05114","6.67469"
"58.20000","29.10106","6.68488"
"58.30000","29.15110","6.69800"
"58.40000","29.20103","6.71282"
"58.50000","29.25113","6.72241"
"58.60000","29.30118","6.74190"
"58.70000","29.35098","6.74939"
"58.80000","29.40097","6.76626"
"58.90000","29.45101","6.77388"
"59.00000","29.50111","6.78323"
"59.10000","29.55110","6.79444"
"59.20000","29.60108","6.80307"
"59.30000","29.65100","6.81355"
"59.40000","29.70111","6.82798"
"59.50000","29.75109","6.84020"
"59.60000","29.80108","6.85441"
"59.70000","29.85106","6.86670"
"59.80000","29.90104","6.88262"
"59.90000","29.95115","6.89500"
"60.00000","30.00101","6.90655"
"60.10000","30.05106","6.91849"
"60.20000","30.10104","6.92674"
"60.30000","30.15114","6.93607"
"60.40000","30.20107","6.94705"
"60.50000","30.25099","6.95777"
"60.60000","30.30092","6.96673"
"60.70000","30.35120","6.97479"
"60.80000","30.40107","6.98218"
"60.90000","30.45111","6.98908"
"61.00000","30.50103","6.99971"
"61.10000","30.55102","7.00962"
"61.20000","30.60106","7.02103"
"61.30000","30.65105","7.03375"
"61.40000","30.70115","7.04701"
"61.50000","30.75101","7.06009"
"61.60000","30.80118","7.07421"
