End date,"8/16/2018"
Specimen label,"D32L50N5d2"
Maximum Load,"1.85787",N
Extension at Maximum Load,"153.77586",mm
Maximum Slope (Automatic Young's),"0.01484",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"23.70000","11.85106","0.19077"
"23.80000","11.90093","0.19232"
"23.90000","11.95103","0.19084"
"24.00000","12.00096","0.19176"
"24.10000","12.05100","0.19438"
"24.20000","12.10110","0.19304"
"24.30000","12.15109","0.19348"
"24.40000","12.20101","0.19556"
"24.50000","12.25099","0.19259"
"24.60000","12.30104","0.19484"
"24.70000","12.35096","0.19533"
"24.80000","12.40095","0.19426"
"24.90000","12.45099","0.19695"
"25.00000","12.50103","0.19549"
"25.10000","12.55114","0.19787"
"25.20000","12.60088","0.19610"
"25.30000","12.65099","0.19570"
"25.40000","12.70103","0.19679"
"25.50000","12.75107","0.19958"
"25.60000","12.80094","0.19874"
"25.70000","12.85092","0.19953"
"25.80000","12.90097","0.20110"
"25.90000","12.95101","0.19914"
"26.00000","13.00099","0.19937"
"26.10000","13.05098","0.20214"
"26.20000","13.10096","0.20355"
"26.30000","13.15101","0.20183"
"26.40000","13.20093","0.20485"
"26.50000","13.25103","0.20388"
"26.60000","13.30096","0.20518"
"26.70000","13.35094","0.20456"
"26.80000","13.40105","0.20432"
"26.90000","13.45097","0.20656"
"27.00000","13.50095","0.20703"
"27.10000","13.55100","0.20763"
"27.20000","13.60098","0.20749"
"27.30000","13.65115","0.20815"
"27.40000","13.70089","0.21007"
"27.50000","13.75100","0.20901"
"27.60000","13.80104","0.21045"
"27.70000","13.85102","0.21582"
"27.80000","13.90095","0.21070"
"27.90000","13.95105","0.21170"
"28.00000","14.00097","0.21248"
"28.10000","14.05102","0.21160"
"28.20000","14.10100","0.21404"
"28.30000","14.15093","0.21547"
"28.40000","14.20097","0.21463"
"28.50000","14.25101","0.21652"
"28.60000","14.30094","0.21865"
"28.70000","14.35104","0.21530"
"28.80000","14.40097","0.21877"
"28.90000","14.45101","0.21782"
"29.00000","14.50088","0.21812"
"29.10000","14.55092","0.21907"
"29.20000","14.60096","0.22144"
"29.30000","14.65107","0.22023"
"29.40000","14.70093","0.22114"
"29.50000","14.75104","0.22183"
"29.60000","14.80084","0.22287"
"29.70000","14.85100","0.22359"
"29.80000","14.90099","0.22263"
"29.90000","14.95097","0.22474"
"30.00000","15.00095","0.22451"
"30.10000","15.05100","0.22497"
"30.20000","15.10092","0.22500"
"30.30000","15.15109","0.22670"
"30.40000","15.20101","0.22684"
"30.50000","15.25093","0.23052"
"30.60000","15.30098","0.22874"
"30.70000","15.35102","0.22924"
"30.80000","15.40107","0.22813"
"30.90000","15.45099","0.23342"
"31.00000","15.50097","0.23278"
"31.10000","15.55096","0.23348"
"31.20000","15.60094","0.23632"
"31.30000","15.65093","0.23213"
"31.40000","15.70103","0.23658"
"31.50000","15.75101","0.23720"
"31.60000","15.80100","0.23417"
"31.70000","15.85098","0.23735"
"31.80000","15.90091","0.24004"
"31.90000","15.95101","0.23643"
"32.00000","16.00087","0.24054"
"32.10000","16.05104","0.24201"
"32.20000","16.10096","0.23975"
"32.30000","16.15089","0.23868"
"32.40000","16.20087","0.24295"
"32.50000","16.25103","0.24166"
"32.60000","16.30096","0.24551"
"32.70000","16.35100","0.24554"
"32.80000","16.40099","0.24671"
"32.90000","16.45091","0.24653"
"33.00000","16.50089","0.24797"
"33.10000","16.55094","0.24880"
"33.20000","16.60104","0.24959"
"33.30000","16.65096","0.24921"
"33.40000","16.70095","0.25100"
"33.50000","16.75093","0.25196"
"33.60000","16.80098","0.25297"
"33.70000","16.85108","0.25295"
"33.80000","16.90095","0.25417"
"33.90000","16.95099","0.25507"
"34.00000","17.00091","0.25707"
"34.10000","17.05102","0.25579"
"34.20000","17.10094","0.25673"
"34.30000","17.15105","0.25666"
"34.40000","17.20097","0.26059"
"34.50000","17.25107","0.26066"
"34.60000","17.30094","0.26048"
"34.70000","17.35104","0.26005"
"34.80000","17.40097","0.26125"
"34.90000","17.45095","0.26192"
"35.00000","17.50105","0.26236"
"35.10000","17.55098","0.26464"
"35.20000","17.60096","0.26642"
"35.30000","17.65101","0.26419"
"35.40000","17.70093","0.26686"
"35.50000","17.75097","0.26878"
"35.60000","17.80096","0.26751"
"35.70000","17.85088","0.26751"
"35.80000","17.90105","0.26845"
"35.90000","17.95091","0.27074"
"36.00000","18.00096","0.27204"
"36.10000","18.05100","0.27131"
"36.20000","18.10098","0.27348"
"36.30000","18.15097","0.27325"
"36.40000","18.20107","0.27511"
"36.50000","18.25099","0.27572"
"36.60000","18.30104","0.27645"
"36.70000","18.35114","0.27624"
"36.80000","18.40101","0.27624"
"36.90000","18.45099","0.27680"
"37.00000","18.50097","0.27937"
"37.10000","18.55108","0.27834"
"37.20000","18.60100","0.28027"
"37.30000","18.65093","0.28195"
"37.40000","18.70097","0.28064"
"37.50000","18.75095","0.28337"
"37.60000","18.80100","0.28402"
"37.70000","18.85098","0.28338"
"37.80000","18.90103","0.28512"
"37.90000","18.95095","0.28434"
"38.00000","19.00105","0.28511"
"38.10000","19.05092","0.28683"
"38.20000","19.10096","0.28821"
"38.30000","19.15095","0.28985"
"38.40000","19.20093","0.28917"
"38.50000","19.25097","0.29074"
"38.60000","19.30102","0.29181"
"38.70000","19.35100","0.29165"
"38.80000","19.40104","0.29265"
"38.90000","19.45091","0.29405"
"39.00000","19.50101","0.29284"
"39.10000","19.55100","0.29555"
"39.20000","19.60092","0.29546"
"39.30000","19.65091","0.29577"
"39.40000","19.70095","0.29709"
"39.50000","19.75099","0.29779"
"39.60000","19.80092","0.29923"
"39.70000","19.85090","0.29964"
"39.80000","19.90100","0.30070"
"39.90000","19.95093","0.30215"
"40.00000","20.00091","0.30106"
"40.10000","20.05108","0.30196"
"40.20000","20.10100","0.30405"
"40.30000","20.15104","0.30327"
"40.40000","20.20097","0.30481"
"40.50000","20.25095","0.30652"
"40.60000","20.30094","0.30692"
"40.70000","20.35098","0.30647"
"40.80000","20.40096","0.30747"
"40.90000","20.45095","0.30822"
"41.00000","20.50099","0.30961"
"41.10000","20.55104","0.30985"
"41.20000","20.60096","0.31151"
"41.30000","20.65094","0.31155"
"41.40000","20.70111","0.31295"
"41.50000","20.75091","0.31322"
"41.60000","20.80096","0.31397"
"41.70000","20.85088","0.31552"
"41.80000","20.90099","0.31594"
"41.90000","20.95103","0.31703"
"42.00000","21.00107","0.31900"
"42.10000","21.05106","0.31730"
"42.20000","21.10098","0.31857"
"42.30000","21.15103","0.32048"
"42.40000","21.20101","0.32049"
"42.50000","21.25105","0.32075"
"42.60000","21.30098","0.32340"
"42.70000","21.35096","0.32256"
"42.80000","21.40101","0.32374"
"42.90000","21.45099","0.32426"
"43.00000","21.50097","0.32593"
"43.10000","21.55102","0.32554"
"43.20000","21.60094","0.32774"
"43.30000","21.65099","0.32895"
"43.40000","21.70097","0.32872"
"43.50000","21.75089","0.32934"
"43.60000","21.80112","0.32857"
"43.70000","21.85098","0.33166"
"43.80000","21.90096","0.33204"
"43.90000","21.95089","0.33269"
"44.00000","22.00099","0.33358"
"44.10000","22.05104","0.33616"
"44.20000","22.10102","0.33580"
"44.30000","22.15095","0.33707"
"44.40000","22.20105","0.33816"
"44.50000","22.25097","0.33756"
"44.60000","22.30102","0.33903"
"44.70000","22.35100","0.33934"
"44.80000","22.40099","0.34049"
"44.90000","22.45109","0.34212"
"45.00000","22.50095","0.34208"
"45.10000","22.55088","0.34217"
"45.20000","22.60092","0.34540"
"45.30000","22.65102","0.34324"
"45.40000","22.70101","0.34466"
"45.50000","22.75099","0.34421"
"45.60000","22.80092","0.34652"
"45.70000","22.85102","0.34709"
"45.80000","22.90107","0.35013"
"45.90000","22.95105","0.34920"
"46.00000","23.00091","0.34927"
"46.10000","23.05096","0.35303"
"46.20000","23.10100","0.35088"
"46.30000","23.15099","0.35124"
"46.40000","23.20097","0.35420"
"46.50000","23.25101","0.35569"
"46.60000","23.30112","0.35409"
"46.70000","23.35092","0.35500"
"46.80000","23.40097","0.35687"
"46.90000","23.45101","0.35689"
"47.00000","23.50099","0.35713"
"47.10000","23.55098","0.35965"
"47.20000","23.60096","0.35888"
"47.30000","23.65088","0.36026"
"47.40000","23.70105","0.36122"
"47.50000","23.75097","0.36167"
"47.60000","23.80096","0.36276"
"47.70000","23.85094","0.36435"
"47.80000","23.90092","0.36396"
"47.90000","23.95103","0.36528"
"48.00000","24.00101","0.36628"
"48.10000","24.05099","0.36601"
"48.20000","24.10092","0.36696"
"48.30000","24.15102","0.36917"
"48.40000","24.20089","0.36827"
"48.50000","24.25099","0.36927"
"48.60000","24.30098","0.37060"
"48.70000","24.35096","0.37007"
"48.80000","24.40113","0.37173"
"48.90000","24.45093","0.37333"
"49.00000","24.50097","0.37396"
"49.10000","24.55096","0.37421"
"49.20000","24.60106","0.37341"
"49.30000","24.65098","0.37435"
"49.40000","24.70097","0.37745"
"49.50000","24.75095","0.37787"
"49.60000","24.80100","0.37717"
"49.70000","24.85104","0.37781"
"49.80000","24.90103","0.37958"
"49.90000","24.95095","0.38025"
"50.00000","25.00111","0.38025"
"50.10000","25.05098","0.38176"
"50.20000","25.10102","0.38129"
"50.30000","25.15089","0.38171"
"50.40000","25.20099","0.38401"
"50.50000","25.25103","0.38195"
"50.60000","25.30102","0.38478"
