End date,"8/16/2018"
Specimen label,"D32L50N5d7-6"
Maximum Load,"120.67461",N
Extension at Maximum Load,"24.56800",mm
Maximum Slope (Automatic Young's),"6.12002",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"10.23400","5.11798","30.90019"
"10.26400","5.13287","31.02966"
"10.30400","5.15296","31.15837"
"10.34600","5.17383","31.28440"
"10.38800","5.19493","31.41397"
"10.43000","5.21592","31.54056"
"10.46600","5.23404","31.67044"
"10.50400","5.25293","31.80328"
"10.53800","5.26997","31.93299"
"10.57200","5.28695","32.06383"
"10.61400","5.30794","32.19544"
"10.64600","5.32396","32.33200"
"10.67000","5.33604","32.46094"
"10.70000","5.35086","32.59028"
"10.72200","5.36204","32.71746"
"10.74600","5.37388","32.84346"
"10.79200","5.39696","32.97342"
"10.83800","5.41998","33.10619"
"10.87600","5.43893","33.23134"
"10.91800","5.45998","33.35652"
"10.95800","5.48001","33.48841"
"10.99800","5.49998","33.61413"
"11.07200","5.53699","33.73933"
"11.15600","5.57902","33.86485"
"11.25600","5.62895","33.96749"
"11.31200","5.65699","34.09751"
"11.36200","5.68198","34.22515"
"11.40000","5.70087","34.35945"
"11.44200","5.72192","34.48754"
"11.48000","5.74099","34.61566"
"11.51200","5.75695","34.74347"
"11.54600","5.77399","34.87286"
"11.57600","5.78906","35.00696"
"11.62000","5.81095","35.13375"
"11.66400","5.83295","35.26541"
"11.70800","5.85495","35.39798"
"11.74000","5.87097","35.52861"
"11.78200","5.89196","35.65838"
"11.82400","5.91295","35.79247"
"11.85400","5.92801","35.92411"
"11.89600","5.94888","36.05382"
"11.95000","5.97590","36.17889"
"12.00800","6.00490","36.30535"
"12.03000","6.01596","36.43171"
"12.06400","6.03294","36.56124"
"12.10600","6.05393","36.69140"
"12.14600","6.07396","36.81973"
"12.17600","6.08903","36.95250"
"12.21200","6.10696","37.08039"
"12.26200","6.13195","37.20730"
"12.30000","6.15097","37.33684"
"12.36800","6.18499","37.46311"
"12.41400","6.20789","37.59228"
"12.47000","6.23599","37.72178"
"12.51600","6.25901","37.84901"
"12.56400","6.28298","37.97832"
"12.61000","6.30588","38.10536"
"12.64600","6.32394","38.23339"
"12.69800","6.35001","38.36273"
"12.74000","6.37093","38.48798"
"12.79600","6.39903","38.61749"
"12.84200","6.42205","38.74730"
"12.87200","6.43694","38.88380"
"12.89600","6.44902","39.01722"
"12.93400","6.46797","39.14419"
"12.96600","6.48400","39.27158"
"12.99800","6.49996","39.39996"
"13.02800","6.51497","39.53180"
"13.07800","6.53996","39.65733"
"13.13000","6.56597","39.78466"
"13.18200","6.59198","39.91506"
"13.24200","6.62193","40.04225"
"13.28400","6.64286","40.17300"
"13.31000","6.65607","40.30438"
"13.37600","6.68901","40.43391"
"13.40200","6.70205","40.55895"
"13.42800","6.71490","40.68803"
"13.46200","6.73200","40.81330"
"13.49800","6.74994","40.93994"
"13.52400","6.76285","41.07220"
"13.55600","6.77900","41.19817"
"13.59400","6.79795","41.32613"
"13.65400","6.82796","41.45210"
"13.69000","6.84602","41.57822"
"13.72800","6.86497","41.70789"
"13.79400","6.89798","41.83291"
"13.86800","6.93493","41.96084"
"13.94000","6.97092","42.08612"
"14.01000","7.00596","42.21159"
"14.07800","7.03986","42.33731"
"14.12200","7.06192","42.46746"
"14.16800","7.08500","42.59572"
"14.20200","7.10198","42.72550"
"14.23800","7.11998","42.85509"
"14.28400","7.14288","42.98304"
"14.32400","7.16297","43.11424"
"14.35000","7.17600","43.24479"
"14.39000","7.19591","43.37346"
"14.42400","7.21295","43.50500"
"14.45600","7.22891","43.63523"
"14.49200","7.24691","43.76706"
"14.52400","7.26299","43.89897"
"14.56800","7.28494","44.02768"
"14.59800","7.30000","44.15833"
"14.63000","7.31597","44.28623"
"14.68000","7.34102","44.41600"
"14.71600","7.35896","44.54802"
"14.75800","7.38000","44.67387"
"14.80600","7.40398","44.79902"
"14.83800","7.41994","44.92530"
"14.87800","7.43997","45.05334"
"14.91400","7.45791","45.17929"
"14.95600","7.47895","45.30840"
"15.00200","7.50185","45.43642"
"15.04800","7.52493","45.56728"
"15.09000","7.54598","45.69231"
"15.15200","7.57701","45.81940"
"15.25200","7.62705","45.94551"
"15.33400","7.66795","46.07462"
"15.38000","7.69097","46.19983"
"15.42400","7.71297","46.32502"
"15.47200","7.73695","46.45846"
"15.50600","7.75398","46.58682"
"15.53800","7.76983","46.71704"
"15.56800","7.78502","46.85164"
"15.60000","7.80092","46.98338"
"15.63200","7.81688","47.11378"
"15.67000","7.83590","47.24192"
"15.70200","7.85198","47.37041"
"15.75200","7.87685","47.50051"
"15.78600","7.89401","47.62934"
"15.81400","7.90794","47.75790"
"15.85600","7.92899","47.89148"
"15.91600","7.95900","48.01898"
"15.95200","7.97694","48.14621"
"15.99800","7.99984","48.27509"
"16.04800","8.02495","48.40331"
"16.08600","8.04384","48.53246"
"16.13200","8.06692","48.66031"
"16.18400","8.09287","48.78807"
"16.21800","8.10991","48.91391"
"16.25000","8.12594","49.04431"
"16.28000","8.14082","49.17836"
"16.31400","8.15798","49.30912"
"16.34600","8.17401","49.43769"
"16.38600","8.19386","49.56732"
"16.42000","8.21090","49.69251"
"16.47400","8.23792","49.81797"
"16.51400","8.25795","49.94349"
"16.56800","8.28498","50.07184"
"16.62200","8.31200","50.20099"
"16.69600","8.34895","50.32876"
"16.76800","8.38494","50.45409"
"16.84400","8.42297","50.58189"
"16.91800","8.45992","50.71443"
"16.95800","8.48001","50.84705"
"16.99200","8.49699","50.97461"
"17.02800","8.51493","51.10048"
"17.08200","8.54201","51.22824"
"17.10600","8.55397","51.35430"
"17.13600","8.56910","51.48139"
"17.18000","8.59098","51.61121"
"17.23200","8.61705","51.73789"
"17.27000","8.63600","51.86395"
"17.30000","8.65095","51.99335"
"17.35800","8.68001","52.12621"
"17.39800","8.69991","52.25209"
"17.43800","8.71988","52.38249"
"17.46600","8.73388","52.51497"
"17.49400","8.74787","52.64713"
"17.52600","8.76389","52.78010"
"17.55400","8.77806","52.90821"
"17.58600","8.79396","53.03436"
"17.61400","8.80789","53.16690"
"17.65000","8.82607","53.29505"
"17.69000","8.84586","53.42247"
"17.73200","8.86691","53.55097"
"17.77000","8.88592","53.67878"
"17.79800","8.89991","53.81251"
"17.85400","8.92795","53.94144"
"17.91000","8.95599","54.07144"
"17.97400","8.98792","54.19825"
"18.07200","9.03683","54.32453"
"18.14800","9.07498","54.44981"
"18.19000","9.09596","54.57735"
"18.26400","9.13291","54.70718"
"18.30600","9.15390","54.83612"
"18.34600","9.17393","54.96410"
"18.37800","9.18995","55.09019"
"18.42000","9.21100","55.21608"
"18.46400","9.23300","55.34639"
"18.49600","9.24902","55.47816"
"18.54200","9.27204","55.61055"
"18.57800","9.28998","55.74246"
"18.62400","9.31294","55.87038"
"18.65800","9.32992","56.00145"
"18.69600","9.34893","56.12860"
"18.74400","9.37297","56.25663"
"18.77800","9.38989","56.38421"
"18.83800","9.41996","56.51186"
"18.89400","9.44806","56.63826"
"18.94400","9.47305","56.76750"
"19.01600","9.50905","56.89772"
"19.05200","9.52692","57.03157"
"19.08000","9.54097","57.15877"
"19.11000","9.55592","57.28662"
"19.14200","9.57195","57.41295"
"19.17200","9.58689","57.54278"
"19.20600","9.60399","57.67156"
"19.24800","9.62498","57.79738"
"19.31000","9.65601","57.93169"
"19.34400","9.67299","58.05882"
"19.40000","9.70097","58.18485"
"19.45600","9.72895","58.31133"
"19.50800","9.75490","58.43816"
"19.56600","9.78396","58.56561"
"19.60600","9.80393","58.69437"
"19.66200","9.83191","58.82170"
"19.71200","9.85696","58.95104"
"19.76000","9.88100","59.07739"
"19.80600","9.90402","59.20679"
"19.85000","9.92590","59.33667"
"19.89600","9.94898","59.46395"
"19.93400","9.96799","59.59763"
"19.96200","9.98192","59.72771"
