End date,"8/16/2018"
Specimen label,"D32L85N5d4"
Maximum Load,"23.09019",N
Extension at Maximum Load,"77.35085",mm
Maximum Slope (Automatic Young's),"0.34165",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"42.60000","21.30098","7.25609"
"42.70000","21.35084","7.27146"
"42.80000","21.40095","7.29191"
"42.90000","21.45093","7.30902"
"43.00000","21.50092","7.33144"
"43.10000","21.55108","7.35060"
"43.20000","21.60094","7.36884"
"43.30000","21.65092","7.38944"
"43.40000","21.70097","7.40596"
"43.50000","21.75096","7.42194"
"43.60000","21.80094","7.43731"
"43.70000","21.85092","7.45392"
"43.80000","21.90103","7.47191"
"43.90000","21.95095","7.48789"
"44.00000","22.00088","7.50500"
"44.10000","22.05092","7.52142"
"44.20000","22.10096","7.53748"
"44.30000","22.15095","7.55639"
"44.40000","22.20081","7.57111"
"44.50000","22.25085","7.58788"
"44.60000","22.30090","7.60350"
"44.70000","22.35094","7.61929"
"44.80000","22.40087","7.63342"
"44.90000","22.45091","7.64873"
"45.00000","22.50084","7.67285"
"45.10000","22.55088","7.68945"
"45.20000","22.60098","7.71042"
"45.30000","22.65091","7.73081"
"45.40000","22.70089","7.75056"
"45.50000","22.75093","7.77058"
"45.60000","22.80092","7.78397"
"45.70000","22.85096","7.79715"
"45.80000","22.90094","7.81245"
"45.90000","22.95093","7.82900"
"46.00000","23.00097","7.84087"
"46.10000","23.05096","7.85873"
"46.20000","23.10088","7.87526"
"46.30000","23.15099","7.89285"
"46.40000","23.20097","7.91187"
"46.50000","23.25101","7.93200"
"46.60000","23.30094","7.95203"
"46.70000","23.35092","7.97124"
"46.80000","23.40097","7.98968"
"46.90000","23.45095","8.00663"
"47.00000","23.50099","8.02387"
"47.10000","23.55098","8.03520"
"47.20000","23.60096","8.05183"
"47.30000","23.65088","8.05981"
"47.40000","23.70105","8.08119"
"47.50000","23.75091","8.09482"
"47.60000","23.80090","8.11440"
"47.70000","23.85094","8.13232"
"47.80000","23.90087","8.15212"
"47.90000","23.95097","8.17292"
"48.00000","24.00095","8.19112"
"48.10000","24.05099","8.20716"
"48.20000","24.10104","8.22309"
"48.30000","24.15091","8.23742"
"48.40000","24.20095","8.25156"
"48.50000","24.25093","8.26979"
"48.60000","24.30104","8.28784"
"48.70000","24.35084","8.30735"
"48.80000","24.40095","8.32514"
"48.90000","24.45099","8.34346"
"49.00000","24.50097","8.36353"
"49.10000","24.55108","8.38088"
"49.20000","24.60094","8.39702"
"49.30000","24.65086","8.41168"
"49.40000","24.70097","8.42522"
"49.50000","24.75101","8.44379"
"49.60000","24.80100","8.45930"
"49.70000","24.85098","8.47212"
"49.80000","24.90103","8.48920"
"49.90000","24.95095","8.50568"
"50.00000","25.00093","8.52616"
"50.10000","25.05098","8.54621"
"50.20000","25.10096","8.56569"
"50.30000","25.15106","8.58302"
"50.40000","25.20093","8.60409"
"50.50000","25.25091","8.61970"
"50.60000","25.30096","8.63215"
"50.70000","25.35094","8.64627"
"50.80000","25.40099","8.65602"
"50.90000","25.45091","8.67717"
"51.00000","25.50101","8.69322"
"51.10000","25.55088","8.71225"
"51.20000","25.60098","8.73620"
"51.30000","25.65097","8.75200"
"51.40000","25.70095","8.77064"
"51.50000","25.75093","8.78889"
"51.60000","25.80098","8.80817"
"51.70000","25.85096","8.82915"
"51.80000","25.90095","8.84143"
"51.90000","25.95093","8.85659"
"52.00000","26.00092","8.86830"
"52.10000","26.05102","8.87934"
"52.20000","26.10088","8.89822"
"52.30000","26.15092","8.91269"
"52.40000","26.20103","8.93298"
"52.50000","26.25101","8.95335"
"52.60000","26.30094","8.96180"
"52.70000","26.35092","8.97627"
"52.80000","26.40084","9.00200"
"52.90000","26.45095","9.02127"
"53.00000","26.50093","9.04327"
"53.10000","26.55098","9.05278"
"53.20000","26.60096","9.06743"
"53.30000","26.65088","9.08188"
"53.40000","26.70099","9.09851"
"53.50000","26.75092","9.11560"
"53.60000","26.80096","9.13295"
"53.70000","26.85094","9.15242"
"53.80000","26.90093","9.16790"
"53.90000","26.95091","9.18364"
"54.00000","27.00101","9.20174"
"54.10000","27.05088","9.21866"
"54.20000","27.10098","9.23717"
"54.30000","27.15091","9.25527"
"54.40000","27.20083","9.26851"
"54.50000","27.25093","9.28194"
"54.60000","27.30103","9.29809"
"54.70000","27.35090","9.31666"
"54.80000","27.40094","9.33825"
"54.90000","27.45093","9.35529"
"55.00000","27.50097","9.37265"
"55.10000","27.55096","9.39398"
"55.20000","27.60094","9.41349"
"55.30000","27.65093","9.43314"
"55.40000","27.70091","9.45051"
"55.50000","27.75107","9.46365"
"55.60000","27.80094","9.47068"
"55.70000","27.85098","9.47893"
"55.80000","27.90096","9.49651"
"55.90000","27.95095","9.51173"
"56.00000","28.00093","9.53684"
"56.10000","28.05092","9.56263"
"56.20000","28.10090","9.58165"
"56.30000","28.15100","9.60094"
"56.40000","28.20093","9.62134"
"56.50000","28.25085","9.64098"
"56.60000","28.30090","9.65854"
"56.70000","28.35094","9.67323"
"56.80000","28.40098","9.68680"
"56.90000","28.45097","9.69870"
"57.00000","28.50089","9.70863"
"57.10000","28.55088","9.72091"
"57.20000","28.60104","9.73734"
"57.30000","28.65091","9.75431"
"57.40000","28.70095","9.77100"
"57.50000","28.75093","9.78798"
"57.60000","28.80086","9.81332"
"57.70000","28.85090","9.83370"
"57.80000","28.90082","9.85361"
"57.90000","28.95093","9.87233"
"58.00000","29.00097","9.88632"
"58.10000","29.05102","9.89908"
"58.20000","29.10088","9.91267"
"58.30000","29.15093","9.93102"
"58.40000","29.20097","9.95432"
"58.50000","29.25095","9.97661"
"58.60000","29.30094","9.99337"
"58.70000","29.35092","10.00804"
"58.80000","29.40085","10.02229"
"58.90000","29.45083","10.03913"
"59.00000","29.50099","10.05553"
"59.10000","29.55098","10.07119"
"59.20000","29.60090","10.08180"
"59.30000","29.65095","10.09365"
"59.40000","29.70093","10.10979"
"59.50000","29.75091","10.13326"
"59.60000","29.80096","10.15472"
